年,月,日,予測気温
2024,2,4,17.16300646610815
2024,2,5,17.13974812125172
2024,2,6,18.52742709627408
2024,2,7,19.388149836289564
2024,2,8,19.645046507552628
2024,2,9,19.354727581776274
2024,2,10,19.948618262703768
2024,2,11,19.702129615714128
2024,2,12,19.675937022583376
2024,2,13,21.32491722485745
2024,2,14,21.701167601142956
2024,2,15,18.06337540069829
2024,2,16,16.7593636593989
2024,2,17,18.75325295328637
2024,2,18,20.13044983969382
2024,2,19,20.625837212219835
2024,2,20,20.684030186866366
2024,2,21,18.132457614844434
2024,2,22,17.33540704129492
2024,2,23,19.127190986520404
2024,2,24,20.581928003942366
2024,2,25,20.411625745655012
2024,2,26,17.816559913917974
2024,2,27,16.750547218333146
2024,2,28,17.365698371025534
2024,3,1,19.251483039598362
2024,3,2,19.157825643121765
2024,3,3,17.75536947770009
2024,3,4,16.632961178828452
2024,3,5,17.84101463182313
2024,3,6,18.560226008369753
2024,3,7,18.32587794117283
2024,3,8,18.53485902847176
2024,3,9,19.372383709053754
2024,3,10,19.501850149006852
2024,3,11,19.729610339445827
2024,3,12,20.86440069174169
2024,3,13,20.620211871744527
2024,3,14,17.53693341513371
2024,3,15,17.967628868478194
2024,3,16,20.246444211792994
2024,3,17,20.62620150705871
2024,3,18,21.039128437824232
2024,3,19,20.38540115424308
2024,3,20,19.715700015680618
2024,3,21,20.135932763261867
2024,3,22,22.274791629431576
2024,3,23,22.958129870919233
2024,3,24,23.50803475347364
2024,3,25,23.001500626129936
2024,3,26,20.695501998196605
2024,3,27,19.71558834693977
2024,3,28,19.81628201746416
2024,3,29,20.527469078601076
2024,3,30,20.56298589711566
2024,3,31,20.462737752133307
2024,4,1,21.98277876102787
2024,4,2,21.447142228197656
2024,4,3,21.556411602665563
2024,4,4,21.760145638095565
2024,4,5,21.84080836367586
2024,4,6,22.44578178702604
2024,4,7,22.889759824809943
2024,4,8,20.855834440982303
2024,4,9,19.425377688159905
2024,4,10,19.30016106381183
2024,4,11,20.951628760191873
2024,4,12,22.46596837438092
2024,4,13,23.347047563908795
2024,4,14,22.75422568370695
2024,4,15,23.02247786951884
2024,4,16,22.353576994090197
2024,4,17,22.92552888626071
2024,4,18,23.74205367970459
2024,4,19,23.75019906990205
2024,4,20,23.670089708781703
2024,4,21,22.75241222879335
2024,4,22,23.199360845138624
2024,4,23,22.951212632836828
2024,4,24,23.253070686610673
2024,4,25,23.379492611580822
2024,4,26,23.755946992886784
2024,4,27,21.542538149962336
2024,4,28,22.121702383415165
2024,4,29,23.817578866654227
2024,4,30,24.685744328706257
2024,5,1,22.879713607111686
2024,5,2,22.20164889232882
2024,5,3,23.18695841632459
2024,5,4,23.471890538980205
2024,5,5,24.08280072550083
2024,5,6,24.74103458695723
2024,5,7,25.240139539876655
2024,5,8,24.064940043703505
2024,5,9,22.17281735763088
2024,5,10,23.179859314393156
2024,5,11,22.895064038723977
2024,5,12,23.18224749242608
2024,5,13,23.399923467684843
2024,5,14,23.760464161671198
2024,5,15,22.611556719460197
2024,5,16,23.058585415307842
2024,5,17,24.38927501872365
2024,5,18,24.68458362784922
2024,5,19,24.702481429320308
2024,5,20,24.394626833476345
2024,5,21,24.288447704047154
2024,5,22,24.309577615718492
2024,5,23,25.80328229927523
2024,5,24,23.28885981089908
2024,5,25,23.922925623037123
2024,5,26,24.53610303758055
2024,5,27,24.717188258988045
2024,5,28,24.413559602124764
2024,5,29,25.175223625794274
2024,5,30,26.1909790222639
2024,5,31,26.449196204655085
2024,6,1,26.68067327060894
2024,6,2,25.298719801057803
2024,6,3,25.268488033855675
2024,6,4,25.443790183864433
2024,6,5,26.24392968565687
2024,6,6,26.443616196444143
2024,6,7,26.485959721413195
2024,6,8,26.844700657228532
2024,6,9,27.169683289730155
2024,6,10,27.274932887425873
2024,6,11,27.440167479007833
2024,6,12,27.216755033853246
2024,6,13,26.207001221284475
2024,6,14,26.316693392457108
2024,6,15,24.8760950374765
2024,6,16,25.325872121331592
2024,6,17,25.809881105141365
2024,6,18,26.467641188691854
2024,6,19,27.172035338001304
2024,6,20,26.67034378138429
2024,6,21,27.211738522113095
2024,6,22,27.86221386681242
2024,6,23,27.686493437661646
2024,6,24,27.651366088398795
2024,6,25,28.17926985075725
2024,6,26,28.082415764313783
2024,6,27,28.528015496214213
2024,6,28,28.414029498325355
2024,6,29,28.061651097121796
2024,6,30,28.769216181514874
2024,7,1,28.978420715277526
2024,7,2,29.150776426371884
2024,7,3,29.29258029280083
2024,7,4,29.540193160834754
2024,7,5,29.214363942944573
2024,7,6,29.617320909412165
2024,7,7,29.86223934630005
2024,7,8,29.899844910462125
2024,7,9,29.857995401572794
2024,7,10,29.989400896469544
2024,7,11,30.070520483985923
2024,7,12,30.10669972650995
2024,7,13,30.319506013657566
2024,7,14,30.349862919899095
2024,7,15,29.9657070477042
2024,7,16,29.542866604479027
2024,7,17,29.229488270607163
2024,7,18,28.68862616472382
2024,7,19,29.33191985548713
2024,7,20,29.919392132451563
2024,7,21,29.811620095388648
2024,7,22,30.055878209032336
2024,7,23,30.199350971403867
2024,7,24,29.99802081839194
2024,7,25,30.108660303959216
2024,7,26,29.86965746309206
2024,7,27,28.51740387541353
2024,7,28,28.03265385289827
2024,7,29,29.107458109040024
2024,7,30,29.407696244737284
2024,7,31,29.46521354733758
2024,8,1,28.344790087880007
2024,8,2,28.289615444275796
2024,8,3,27.111898145524464
2024,8,4,27.4756806278594
2024,8,5,27.60223682158928
2024,8,6,26.69454535690523
2024,8,7,26.726126003402193
2024,8,8,26.99178952079229
2024,8,9,27.49721365211684
2024,8,10,27.98369197489471
2024,8,11,28.579497317314733
2024,8,12,28.17831328198982
2024,8,13,28.872964760859446
2024,8,14,28.979756074818425
2024,8,15,29.356259777146462
2024,8,16,28.637929763421695
2024,8,17,27.55607906009905
2024,8,18,28.243980546076266
2024,8,19,28.8350809710834
2024,8,20,29.374954776864485
2024,8,21,29.276019246434124
2024,8,22,29.000248991572057
2024,8,23,29.0159889681886
2024,8,24,29.143255406380135
2024,8,25,29.823615667662896
2024,8,26,28.59127641633559
2024,8,27,28.553075760499254
2024,8,28,29.276849606922887
2024,8,29,29.29107804696824
2024,8,30,29.691950963023704
2024,8,31,30.003029372519734
2024,9,1,29.95011346394325
2024,9,2,30.04834394298918
2024,9,3,28.715050792305988
2024,9,4,29.427151532053678
2024,9,5,29.04643463885779
2024,9,6,29.098824766043226
2024,9,7,29.262592248408776
2024,9,8,29.000113682366447
2024,9,9,28.403507633414296
2024,9,10,28.063430416503408
2024,9,11,28.08244217211797
2024,9,12,28.320028699890788
2024,9,13,29.071830337455122
2024,9,14,28.783796104035943
2024,9,15,29.21290699217166
2024,9,16,29.310976158238013
2024,9,17,28.113515866620205
2024,9,18,27.50595448308232
2024,9,19,28.42628311514339
2024,9,20,29.068241849453493
2024,9,21,28.71367808403426
2024,9,22,28.493440120442592
2024,9,23,28.47696588115251
2024,9,24,29.008318390816896
2024,9,25,28.480199787042427
2024,9,26,28.72566308273808
2024,9,27,28.921435610257372
2024,9,28,29.266837056816676
2024,9,29,28.24483726422424
2024,9,30,28.10621264713141
2024,10,1,27.972393669049517
2024,10,2,28.300094135773467
2024,10,3,28.394546174886614
