年,月,日,予測湿度
2024,2,4,65.83613087804477
2024,2,5,69.79440123117888
2024,2,6,78.65585176563377
2024,2,7,83.29704283636782
2024,2,8,78.83656809036364
2024,2,9,73.75574464482311
2024,2,10,77.81735332864498
2024,2,11,78.41368642674578
2024,2,12,80.81698189665377
2024,2,13,86.52019930765309
2024,2,14,81.56060174757712
2024,2,15,70.40469215999642
2024,2,16,68.63622728600357
2024,2,17,71.83954234643907
2024,2,18,68.86916570166132
2024,2,19,69.73348226313125
2024,2,20,71.38924636156541
2024,2,21,62.24752343354861
2024,2,22,62.53966515575439
2024,2,23,71.07540340355715
2024,2,24,71.87124059184369
2024,2,25,76.58626546667848
2024,2,26,62.82716997516951
2024,2,27,58.73985879213216
2024,2,28,72.02380481514072
2024,3,1,65.71107091278853
2024,3,2,68.86831180258726
2024,3,3,67.12591308939955
2024,3,4,59.25287693720762
2024,3,5,66.47489894090808
2024,3,6,63.63111556249565
2024,3,7,60.38664196511034
2024,3,8,65.07535044324428
2024,3,9,68.86676179218964
2024,3,10,72.38497677661508
2024,3,11,70.99506801894356
2024,3,12,73.32042115097266
2024,3,13,74.02600913584622
2024,3,14,65.48647544881639
2024,3,15,68.4036028685903
2024,3,16,84.00691782838192
2024,3,17,77.75753171899508
2024,3,18,79.69211222194309
2024,3,19,76.00303491583485
2024,3,20,71.19356516327629
2024,3,21,79.78778027359576
2024,3,22,83.58978611968722
2024,3,23,85.53300158690618
2024,3,24,85.1351600362485
2024,3,25,83.98091207389443
2024,3,26,78.60224318870559
2024,3,27,81.4234260393317
2024,3,28,75.99187221422119
2024,3,29,70.30665440295734
2024,3,30,80.31089198383374
2024,3,31,78.96993809312589
2024,4,1,83.74729603572207
2024,4,2,78.28720647027215
2024,4,3,75.79311226601715
2024,4,4,69.41269886157231
2024,4,5,69.92895046281741
2024,4,6,75.03350148488843
2024,4,7,78.83714955505154
2024,4,8,78.40608489506177
2024,4,9,60.85693403224689
2024,4,10,65.4489420398613
2024,4,11,70.448503680142
2024,4,12,77.46506646432147
2024,4,13,81.17604993712371
2024,4,14,77.32138137610296
2024,4,15,85.9353089306311
2024,4,16,84.28914967924204
2024,4,17,70.08617723682656
2024,4,18,78.16174632642773
2024,4,19,77.1777201007503
2024,4,20,87.16909119105267
2024,4,21,87.22640413492817
2024,4,22,82.80025599356837
2024,4,23,80.16523062278517
2024,4,24,76.86192931232728
2024,4,25,78.05658463951804
2024,4,26,79.46758724162592
2024,4,27,74.984172813222
2024,4,28,74.00550443212822
2024,4,29,80.32039232742032
2024,4,30,85.56700405929556
2024,5,1,77.5887807143698
2024,5,2,74.80495972460096
2024,5,3,72.10772886065362
2024,5,4,80.99089691224302
2024,5,5,83.11903266730268
2024,5,6,85.34704995613329
2024,5,7,84.61033963397648
2024,5,8,84.35517736900246
2024,5,9,73.83053521394116
2024,5,10,74.05935436858013
2024,5,11,70.90358274562875
2024,5,12,67.64051193442458
