年,月,日,気温,品質,均質
2024,1,1,18.3,8,1
2024,1,2,17.9,8,1
2024,1,3,17.8,8,1
2024,1,4,17.4,8,1
2024,1,5,18.1,8,1
2024,1,6,18.2,8,1
2024,1,7,18.2,8,1
2024,1,8,17.1,8,1
2024,1,9,17.5,8,1
2024,1,10,18.3,8,1
2024,1,11,16.1,8,1
2024,1,12,16.0,8,1
2024,1,13,16.5,8,1
2024,1,14,17.7,8,1
2024,1,15,17.7,8,1
2024,1,16,17.7,8,1
2024,1,17,20.4,8,1
2024,1,18,21.8,8,1
2024,1,19,22.6,8,1
2024,1,20,22.7,8,1
2024,1,21,19.7,8,1
2024,1,22,17.7,8,1
2024,1,23,13.2,8,1
2024,1,24,13.3,8,1
2024,1,25,15.2,8,1
2024,1,26,16.1,8,1
2024,1,27,16.2,8,1
2024,1,28,16.2,8,1
2024,1,29,16.3,8,1
2024,1,30,19.4,8,1
2024,1,31,22.1,8,1
2024,2,1,21.8,8,1
2024,2,2,21.8,8,1
2024,2,3,21.6,8,1
2024,2,4,22.0,8,1
2024,2,5,19.3,8,1
2024,2,6,17.6,8,1
2024,2,7,17.5,8,1
2024,2,8,16.7,8,1
2024,2,9,15.8,8,1
2024,2,10,16.0,8,1
2024,2,11,16.3,8,1
2024,2,12,17.1,8,1
2024,2,13,19.9,8,1
2024,2,14,21.3,8,1
2024,2,15,22.1,8,1
2024,2,16,19.4,8,1
2024,2,17,19.3,8,1
2024,2,18,21.1,8,1
2024,2,19,23.0,8,1
2024,2,20,23.1,8,1
2024,2,21,23.0,8,1
2024,2,22,23.0,8,1
2024,2,23,20.6,8,1
2024,2,24,20.2,8,1
2024,2,25,16.8,8,1
2024,2,26,17.8,8,1
2024,2,27,18.0,8,1
2024,2,28,20.4,8,1
2024,2,29,22.0,8,1
2024,3,1,17.6,8,1
2024,3,2,14.4,8,1
2024,3,3,16.0,8,1
2024,3,4,20.6,8,1
2024,3,5,23.4,8,1
2024,3,6,21.2,8,1
2024,3,7,17.9,8,1
2024,3,8,16.5,8,1
2024,3,9,16.4,8,1
2024,3,10,17.0,8,1
2024,3,11,19.2,8,1
2024,3,12,19.0,8,1
2024,3,13,17.2,8,1
2024,3,14,18.4,8,1
2024,3,15,19.6,8,1
2024,3,16,20.7,8,1
2024,3,17,21.6,8,1
2024,3,18,20.0,8,1
2024,3,19,19.0,8,1
2024,3,20,16.7,8,1
2024,3,21,16.3,8,1
2024,3,22,18.8,8,1
2024,3,23,22.1,8,1
2024,3,24,23.4,8,1
2024,3,25,23.8,8,1
2024,3,26,20.8,8,1
2024,3,27,19.7,8,1
2024,3,28,21.3,8,1
2024,3,29,21.9,8,1
2024,3,30,21.6,8,1
2024,3,31,22.0,8,1
2024,4,1,22.7,8,1
2024,4,2,23.8,8,1
2024,4,3,24.9,8,1
2024,4,4,25.0,8,1
2024,4,5,24.0,8,1
2024,4,6,22.4,8,1
2024,4,7,22.3,8,1
2024,4,8,22.2,8,1
2024,4,9,21.7,8,1
2024,4,10,21.9,8,1
2024,4,11,22.4,8,1
2024,4,12,22.2,8,1
2024,4,13,23.9,8,1
2024,4,14,24.6,8,1
2024,4,15,23.1,8,1
2024,4,16,23.9,8,1
2024,4,17,25.6,8,1
2024,4,18,23.6,8,1
2024,4,19,22.4,8,1
2024,4,20,23.9,8,1
2024,4,21,26.3,8,1
2024,4,22,26.3,8,1
2024,4,23,26.2,8,1
2024,4,24,22.6,8,1
2024,4,25,22.0,8,1
2024,4,26,24.4,8,1
2024,4,27,26.0,8,1
2024,4,28,26.3,8,1
2024,4,29,25.1,8,1
2024,4,30,26.4,8,1
2024,5,1,24.7,8,1
2024,5,2,22.2,8,1
2024,5,3,23.5,8,1
2024,5,4,25.0,8,1
2024,5,5,25.7,8,1
2024,5,6,26.1,8,1
2024,5,7,24.9,8,1
2024,5,8,23.9,8,1
2024,5,9,22.2,8,1
2024,5,10,23.1,8,1
2024,5,11,24.7,8,1
2024,5,12,26.4,8,1
2024,5,13,23.0,8,1
2024,5,14,22.3,8,1
2024,5,15,23.3,8,1
2024,5,16,22.9,8,1
2024,5,17,23.3,8,1
2024,5,18,24.3,8,1
2024,5,19,25.3,8,1
2024,5,20,25.1,8,1
2024,5,21,23.7,8,1
2024,5,22,25.1,8,1
2024,5,23,26.4,8,1
2024,5,24,25.1,8,1
2024,5,25,25.9,8,1
2024,5,26,27.1,8,1
2024,5,27,27.6,8,1
2024,5,28,25.6,8,1
2024,5,29,24.4,8,1
2024,5,30,25.9,8,1
2024,5,31,26.9,8,1
2024,6,1,24.9,8,1
2024,6,2,21.6,8,1
2024,6,3,21.8,8,1
2024,6,4,24.5,8,1
2024,6,5,24.7,8,1
2024,6,6,23.2,8,1
2024,6,7,24.3,8,1
2024,6,8,26.2,8,1
2024,6,9,25.7,8,1
2024,6,10,25.1,8,1
2024,6,11,25.2,8,1
2024,6,12,26.1,8,1
2024,6,13,26.3,8,1
2024,6,14,25.7,8,1
2024,6,15,27.3,8,1
2024,6,16,27.8,8,1
2024,6,17,27.8,8,1
2024,6,18,25.6,8,1
2024,6,19,27.7,8,1
2024,6,20,28.8,8,1
2024,6,21,29.0,8,1
2024,6,22,29.5,8,1
2024,6,23,29.3,8,1
2024,6,24,29.5,8,1
2024,6,25,29.6,8,1
2024,6,26,29.9,8,1
2024,6,27,29.7,8,1
2024,6,28,29.6,8,1
2024,6,29,30.0,8,1
2024,6,30,30.0,8,1
