年,月,日,湿度,品質,均質
2024,1,1,59,8,1
2024,1,2,60,8,1
2024,1,3,72,8,1
2024,1,4,54,8,1
2024,1,5,60,8,1
2024,1,6,75,8,1
2024,1,7,60,8,1
2024,1,8,61,8,1
2024,1,9,87,8,1
2024,1,10,67,8,1
2024,1,11,52,8,1
2024,1,12,60,8,1
2024,1,13,63,8,1
2024,1,14,62,8,1
2024,1,15,68,8,1
2024,1,16,54,8,1
2024,1,17,60,8,1
2024,1,18,67,8,1
2024,1,19,73,8,1
2024,1,20,79,8,1
2024,1,21,81,8,1
2024,1,22,73,8,1
2024,1,23,75,8,1
2024,1,24,60,8,1
2024,1,25,63,8,1
2024,1,26,62,8,1
2024,1,27,69,8,1
2024,1,28,66,8,1
2024,1,29,58,8,1
2024,1,30,64,8,1
2024,1,31,74,8,1
2024,2,1,76,8,1
2024,2,2,80,8,1
2024,2,3,85,8,1
2024,2,4,87,8,1
2024,2,5,80,8,1
2024,2,6,63,8,1
2024,2,7,79,8,1
2024,2,8,82,8,1
2024,2,9,76,8,1
2024,2,10,55,8,1
2024,2,11,45,8,1
2024,2,12,48,8,1
2024,2,13,53,8,1
2024,2,14,73,8,1
2024,2,15,79,8,1
2024,2,16,77,8,1
2024,2,17,68,8,1
2024,2,18,75,8,1
2024,2,19,85,8,1
2024,2,20,86,8,1
2024,2,21,82,8,1
2024,2,22,84,8,1
2024,2,23,83,8,1
2024,2,24,75,8,1
2024,2,25,78,8,1
2024,2,26,72,8,1
2024,2,27,75,8,1
2024,2,28,76,8,1
2024,2,29,90,8,1
2024,3,1,89,8,1
2024,3,2,75,8,1
2024,3,3,74,8,1
2024,3,4,88,8,1
2024,3,5,96,4,1
2024,3,6,82,4,1
2024,3,7,75,8,1
2024,3,8,57,8,1
2024,3,9,52,8,1
2024,3,10,54,8,1
2024,3,11,66,8,1
2024,3,12,62,8,1
2024,3,13,49,8,1
2024,3,14,56,8,1
2024,3,15,65,8,1
2024,3,16,67,8,1
2024,3,17,76,8,1
2024,3,18,67,8,1
2024,3,19,77,8,1
2024,3,20,47,8,1
2024,3,21,49,8,1
2024,3,22,60,8,1
2024,3,23,75,8,1
2024,3,24,83,8,1
2024,3,25,85,8,1
2024,3,26,83,8,1
2024,3,27,62,8,1
2024,3,28,73,8,1
2024,3,29,86,8,1
2024,3,30,84,8,1
2024,3,31,93,8,1
2024,4,1,78,8,1
2024,4,2,89,8,1
2024,4,3,89,8,1
2024,4,4,90,8,1
2024,4,5,88,8,1
2024,4,6,92,8,1
2024,4,7,94,8,1
2024,4,8,96,8,1
2024,4,9,76,8,1
2024,4,10,66,8,1
2024,4,11,74,8,1
2024,4,12,80,8,1
2024,4,13,88,8,1
2024,4,14,89,8,1
2024,4,15,95,8,1
2024,4,16,89,8,1
2024,4,17,83,8,1
2024,4,18,76,8,1
2024,4,19,64,8,1
2024,4,20,77,8,1
2024,4,21,86,8,1
2024,4,22,89,8,1
2024,4,23,92,8,1
2024,4,24,87,8,1
2024,4,25,89,8,1
2024,4,26,93,8,1
2024,4,27,83,8,1
2024,4,28,88,8,1
2024,4,29,90,8,1
2024,4,30,87,8,1
2024,5,1,85,8,1
2024,5,2,87,8,1
2024,5,3,86,8,1
2024,5,4,80,8,1
2024,5,5,80,8,1
2024,5,6,86,8,1
2024,5,7,77,8,1
2024,5,8,65,8,1
2024,5,9,57,8,1
2024,5,10,62,8,1
2024,5,11,72,8,1
2024,5,12,84,8,1
2024,5,13,90,8,1
2024,5,14,78,8,1
2024,5,15,77,8,1
2024,5,16,63,8,1
2024,5,17,65,8,1
2024,5,18,81,8,1
2024,5,19,78,8,1
2024,5,20,75,8,1
2024,5,21,95,8,1
2024,5,22,96,8,1
2024,5,23,92,8,1
2024,5,24,95,8,1
2024,5,25,91,8,1
2024,5,26,90,8,1
2024,5,27,87,8,1
2024,5,28,93,8,1
2024,5,29,80,8,1
2024,5,30,86,8,1
2024,5,31,92,8,1
2024,6,1,96,8,1
2024,6,2,92,8,1
2024,6,3,82,8,1
2024,6,4,68,8,1
2024,6,5,67,8,1
2024,6,6,74,8,1
2024,6,7,83,8,1
2024,6,8,90,8,1
2024,6,9,94,8,1
2024,6,10,90,8,1
2024,6,11,96,8,1
2024,6,12,96,8,1
2024,6,13,94,8,1
2024,6,14,96,8,1
2024,6,15,94,8,1
2024,6,16,92,8,1
2024,6,17,91,8,1
2024,6,18,96,8,1
2024,6,19,91,8,1
2024,6,20,87,8,1
2024,6,21,88,8,1
2024,6,22,88,8,1
2024,6,23,88,8,1
2024,6,24,84,8,1
2024,6,25,82,8,1
2024,6,26,81,8,1
2024,6,27,76,8,1
2024,6,28,81,8,1
2024,6,29,79,8,1
2024,6,30,79,8,1
