年,月,日,予測湿度
2024,1,7,71.7755377902222
2024,1,8,64.11683035808365
2024,1,9,67.13127312807255
2024,1,10,69.33369933516366
2024,1,11,65.4019887024273
2024,1,12,71.12064550998402
2024,1,13,67.23954133102801
2024,1,14,72.81097127753985
2024,1,15,80.71409783584329
2024,1,16,82.56646958075669
2024,1,17,73.09335180656262
2024,1,18,69.77582785001599
2024,1,19,70.07142839527302
2024,1,20,66.3635874401909
2024,1,21,67.14075786117199
2024,1,22,65.94367078946628
2024,1,23,74.4592123497242
2024,1,24,78.58726724121613
2024,1,25,70.50847479282587
2024,1,26,69.27478455148888
2024,1,27,68.3895073225008
2024,1,28,72.85027821658522
2024,1,29,65.4655194904357
2024,1,30,65.21488722637395
2024,1,31,59.00542868403029
2024,2,1,68.6897880280582
2024,2,2,66.60634841948855
2024,2,3,77.10255255017078
2024,2,4,67.15886557668463
2024,2,5,69.49044218378475
2024,2,6,78.10394561223949
2024,2,7,84.90217702618257
2024,2,8,78.90021212977194
2024,2,9,74.45755953712137
2024,2,10,77.91751001860702
2024,2,11,80.30238068265236
2024,2,12,82.74669458727132
2024,2,13,84.79161627597163
2024,2,14,81.53074687835647
2024,2,15,77.7624723030389
2024,2,16,72.59773957397877
2024,2,17,70.09689871418152
2024,2,18,67.21705535387763
2024,2,19,67.55941805897645
2024,2,20,69.7412295602636
2024,2,21,64.2485512310027
2024,2,22,63.040620517204765
2024,2,23,67.29677981894926
2024,2,24,68.11504013398289
2024,2,25,75.8559418395579
2024,2,26,65.08233278089885
2024,2,27,59.49682329858093
2024,2,28,73.09600801318082
2024,3,1,61.529149643202025
2024,3,2,69.93357429211804
2024,3,3,69.80032605944191
2024,3,4,59.126651923686794
2024,3,5,66.29512665014167
2024,3,6,62.00079028888967
2024,3,7,59.392313184689165
2024,3,8,64.7445929948924
2024,3,9,66.42121112111633
2024,3,10,71.30099069398183
2024,3,11,70.51202985222403
2024,3,12,69.6292310480553
2024,3,13,73.76046177798437
2024,3,14,71.95410465679761
2024,3,15,68.88072917877385
2024,3,16,83.90307530898289
2024,3,17,78.77879806535653
2024,3,18,78.97975603816408
2024,3,19,78.13173868031915
2024,3,20,72.09356566063698
2024,3,21,82.31083860488414
2024,3,22,81.57731725809118
2024,3,23,85.31097779174114
2024,3,24,84.61179162201762
2024,3,25,84.73763151201703
2024,3,26,84.2904957134188
2024,3,27,85.75923580146866
2024,3,28,77.64546126137621
2024,3,29,70.17094488277384
2024,3,30,83.24298351527813
2024,3,31,81.344349989449
2024,4,1,81.89514591274803
2024,4,2,78.57254131466618
2024,4,3,74.92330978529432
2024,4,4,68.0005043104264
2024,4,5,68.48735050625706
2024,4,6,73.27463248239519
2024,4,7,77.47389065538154
2024,4,8,83.33658788414951
2024,4,9,60.11691931978814
2024,4,10,65.4043629435962
2024,4,11,68.15239607458375
2024,4,12,74.45468114630702
2024,4,13,79.38725774820745
2024,4,14,75.85866711102679
2024,4,15,84.49952533541027
2024,4,16,85.61678422516043
2024,4,17,66.41930945663573
2024,4,18,77.37577833778626
2024,4,19,77.80394725187082
2024,4,20,87.91210969791672
2024,4,21,90.22517818201733
2024,4,22,79.61504158539839
2024,4,23,79.803177233116
2024,4,24,75.92676705838801
2024,4,25,79.01343081380476
2024,4,26,78.88304619340076
2024,4,27,79.12635572459503
2024,4,28,70.97030126094944
2024,4,29,77.80292524597553
2024,4,30,84.50173888975867
2024,5,1,80.6629051822494
2024,5,2,74.55306373120965
2024,5,3,69.95756345614993
2024,5,4,81.37505343083119
2024,5,5,81.51806651235779
2024,5,6,83.84828379668619
2024,5,7,82.22468238253789
2024,5,8,86.11894981644568
2024,5,9,76.7971877757362
2024,5,10,72.77776708663747
2024,5,11,71.38791354077591
2024,5,12,66.12365127842784
2024,5,13,71.30306158018168
2024,5,14,74.79724831624233
2024,5,15,74.17500496540471
2024,5,16,73.07407650594553
2024,5,17,71.27133409739274
2024,5,18,73.83105064439691
2024,5,19,89.41234239765363
2024,5,20,77.59124817279263
2024,5,21,74.38458384719976
2024,5,22,79.79908516901524
2024,5,23,86.75501106062023
2024,5,24,75.39297337847458
2024,5,25,68.93644210454323
2024,5,26,75.9610840147653
2024,5,27,71.00489596384733
2024,5,28,87.76527727865876
2024,5,29,83.8285848616296
2024,5,30,83.14288469899468
2024,5,31,84.19311180641654
2024,6,1,84.33818496412113
2024,6,2,89.62351196592031
2024,6,3,88.0482662014542
2024,6,4,81.19828983851451
2024,6,5,77.09759255702008
2024,6,6,81.28628929397755
2024,6,7,81.85422332441772
2024,6,8,84.321068289908
2024,6,9,80.7887935509489
2024,6,10,82.01598407894248
2024,6,11,82.82014411223449
2024,6,12,85.21872661203487
2024,6,13,87.28782250057255
2024,6,14,89.05388750461543
2024,6,15,91.20970825803698
2024,6,16,86.74892886756754
2024,6,17,87.85555473004541
2024,6,18,91.47305205308805
2024,6,19,86.89123987543697
2024,6,20,89.23743446504294
2024,6,21,88.09274518541962
2024,6,22,87.35182296156216
2024,6,23,88.63552624620068
2024,6,24,87.92990819488512
2024,6,25,83.66363986952332
2024,6,26,83.32286377654248
2024,6,27,81.5011175045504
2024,6,28,80.86176596465737
2024,6,29,83.62726067536065
2024,6,30,80.68529908487095
2024,7,1,79.78724825578388
2024,7,2,81.33240538091725
2024,7,3,81.4188197544421
2024,7,4,80.96362535759658
2024,7,5,82.5797056527213
2024,7,6,81.98460059850288
2024,7,7,81.6289790461957
2024,7,8,81.93236625764173
2024,7,9,81.77616173050235
2024,7,10,76.74678326890252
2024,7,11,79.5283975234035
2024,7,12,78.30198204711698
2024,7,13,76.87222885356039
2024,7,14,77.16444317316856
2024,7,15,80.084105056563
2024,7,16,80.00177777440726
2024,7,17,79.58056424628819
2024,7,18,82.04671694352993
2024,7,19,80.7514049104023
2024,7,20,77.25265596351468
2024,7,21,76.19705865262486
2024,7,22,76.05707000218375
2024,7,23,78.04030878570512
2024,7,24,77.20134595941134
2024,7,25,76.9589818326259
2024,7,26,77.51473900368373
2024,7,27,83.2986138609127
2024,7,28,82.1530537974242
2024,7,29,80.09192600637492
2024,7,30,80.32012187368805
2024,7,31,80.31097644318311
2024,8,1,82.26712717517809
2024,8,2,83.26772205569125
2024,8,3,89.40239049823545
2024,8,4,84.92617064252904
2024,8,5,86.01008365308196
2024,8,6,89.88607932376135
2024,8,7,89.81837818110162
2024,8,8,90.10310545590761
2024,8,9,89.42172151633278
2024,8,10,86.57812758185075
2024,8,11,84.68853217779181
2024,8,12,85.04979172087005
2024,8,13,81.45483224656178
2024,8,14,79.73354229300526
2024,8,15,80.9247987892403
2024,8,16,84.95788447956454
2024,8,17,86.66294843354659
2024,8,18,79.66564654058564
2024,8,19,79.53426495042908
2024,8,20,81.73864190374917
2024,8,21,81.30166274198051
2024,8,22,81.72588699200945
2024,8,23,77.2755777537262
2024,8,24,77.28157207144851
2024,8,25,80.13894236563709
2024,8,26,83.59035408681177
2024,8,27,82.03442481451823
2024,8,28,77.35225084265278
2024,8,29,80.17984998665956
2024,8,30,79.47076891333656
2024,8,31,78.53410841246836
2024,9,1,80.95922777486847
2024,9,2,79.61525265628393
2024,9,3,83.76197551918386
2024,9,4,76.93660675789097
2024,9,5,78.1397498368424
2024,9,6,78.57241189485232
2024,9,7,78.91632584142799
2024,9,8,78.34694436104438
2024,9,9,76.48809183691039
2024,9,10,74.49633074297637
2024,9,11,79.36161560999268
2024,9,12,77.91939222864951
2024,9,13,76.8988467648126
2024,9,14,82.36930313905822
2024,9,15,76.99074892584775
2024,9,16,79.16222644033898
2024,9,17,85.40257316263668
2024,9,18,84.28474199217746
2024,9,19,81.14286488107594
2024,9,20,78.47829965307997
2024,9,21,81.18256198108186
2024,9,22,83.67101676378135
2024,9,23,82.35339416003826
2024,9,24,78.74602078510677
2024,9,25,82.2659261810706
2024,9,26,77.57657128377276
2024,9,27,77.67976783620975
2024,9,28,78.16727875526307
2024,9,29,84.68344731114831
2024,9,30,84.58059682288484
2024,10,1,84.85254362847412
2024,10,2,81.46334862852137
2024,10,3,79.77457982227006
2024,10,4,86.05252134684355
2024,10,5,82.86559894956275
2024,10,6,82.33568427829584
2024,10,7,76.24561282746315
2024,10,8,81.7187607160219
2024,10,9,83.18206105902794
2024,10,10,77.50295045038642
2024,10,11,73.90634162408071
2024,10,12,70.29601502233959
2024,10,13,72.37530731016918
2024,10,14,68.53337146823313
2024,10,15,69.39421566898342
2024,10,16,65.90607726515475
2024,10,17,60.920483924367296
2024,10,18,62.77307069360116
2024,10,19,63.64434016021477
2024,10,20,67.48245200270335
2024,10,21,70.74741090849075
2024,10,22,65.32612411187533
2024,10,23,61.48564129980885
2024,10,24,70.25188822094441
2024,10,25,70.93074789365565
2024,10,26,75.90686335923404
2024,10,27,66.65276106100345
2024,10,28,63.07363753415129
2024,10,29,67.41742816499801
2024,10,30,63.02247562699378
2024,10,31,66.54117712361854
2024,11,1,71.9373707859989
2024,11,2,70.41248080867817
2024,11,3,78.30645618558967
2024,11,4,70.0184420301641
2024,11,5,73.91021466583355
2024,11,6,78.26651744735145
2024,11,7,80.97968968356984
2024,11,8,69.47950572468986
2024,11,9,70.96302269359289
2024,11,10,82.48679505106577
2024,11,11,79.27985049904981
2024,11,12,80.4671501020381
2024,11,13,82.62005828251101
2024,11,14,63.42414587765091
2024,11,15,67.79015388950349
2024,11,16,68.66551407867829
2024,11,17,69.92814643634316
2024,11,18,64.22437877642254
2024,11,19,59.451008439534036
2024,11,20,61.95585246440386
2024,11,21,62.462751149932956
2024,11,22,67.65104626971926
2024,11,23,68.86519491657965
2024,11,24,67.7271962662215
2024,11,25,65.11845397501176
2024,11,26,67.09408479030209
2024,11,27,74.40407289454727
2024,11,28,73.5657953274828
2024,11,29,62.47994277208116
2024,11,30,71.35953186861036
2024,12,1,69.14398254294021
2024,12,2,69.5746061889177
2024,12,3,66.88760410680402
2024,12,4,72.26043663748308
2024,12,5,87.9981586593663
2024,12,6,72.66618052161996
2024,12,7,76.00891107335167
2024,12,8,64.10593906474047
2024,12,9,71.04458301100439
2024,12,10,77.44411261494652
2024,12,11,74.31562898496128
2024,12,12,80.8995584555081
2024,12,13,79.18475100307415
2024,12,14,70.13430952277739
2024,12,15,80.5887484018978
2024,12,16,79.01830789260208
