年,月,日,予測気温
2024,1,7,18.518660869004407
2024,1,8,17.751487467612886
2024,1,9,17.40678475782762
2024,1,10,19.07259826329266
2024,1,11,19.769204051583475
2024,1,12,19.59855365460757
2024,1,13,21.70408713536018
2024,1,14,21.55031109728063
2024,1,15,22.34539819252386
2024,1,16,19.529245989185167
2024,1,17,16.0903007654799
2024,1,18,18.472745468781508
2024,1,19,17.068050076270467
2024,1,20,17.845319496709884
2024,1,21,17.202636794436504
2024,1,22,17.91791977795281
2024,1,23,21.07728196711266
2024,1,24,18.978880526410524
2024,1,25,13.682600447519144
2024,1,26,14.305820852102558
2024,1,27,18.400558586140427
2024,1,28,14.834691766943015
2024,1,29,13.305633432676006
2024,1,30,14.40234764242078
2024,1,31,14.408931854446156
2024,2,1,15.521872621312106
2024,2,2,19.646073254288382
2024,2,3,17.526383282541865
2024,2,4,16.47938405166405
2024,2,5,17.594809409969546
2024,2,6,18.6067084750364
2024,2,7,19.674551268473927
2024,2,8,19.95042278170712
2024,2,9,19.417981850568545
2024,2,10,20.498516390226595
2024,2,11,19.741657173643667
2024,2,12,20.320090394027787
2024,2,13,21.88189033931445
2024,2,14,21.584274028215592
2024,2,15,17.33454104753795
2024,2,16,16.937215177761097
2024,2,17,19.074591800030866
2024,2,18,20.213987116337524
2024,2,19,20.511673642774994
2024,2,20,20.43865903861603
2024,2,21,17.250526533671085
2024,2,22,17.13289229692677
2024,2,23,19.614122255267244
2024,2,24,20.561828429077554
2024,2,25,20.075784540800274
2024,2,26,16.75007532019843
2024,2,27,16.580946324569553
2024,2,28,17.700611511112662
2024,3,1,19.146068132570548
2024,3,2,18.86587272514941
2024,3,3,17.35007988799833
2024,3,4,15.88097169371526
2024,3,5,18.19205462080576
2024,3,6,18.35756813992241
2024,3,7,17.892039036890782
2024,3,8,18.528979065292027
2024,3,9,19.29795369080413
2024,3,10,19.325320759587505
2024,3,11,19.854504480397416
2024,3,12,21.16600401925418
2024,3,13,20.44402094031286
2024,3,14,16.91328450512564
2024,3,15,18.556585949829564
2024,3,16,20.807008379287854
2024,3,17,20.402445231473692
2024,3,18,21.37348756691752
2024,3,19,20.159942522153106
2024,3,20,19.364128810481574
2024,3,21,20.8399109709704
2024,3,22,22.59554897890082
2024,3,23,23.10287763114856
2024,3,24,23.62383388545004
2024,3,25,22.86235303832062
2024,3,26,20.50225473749861
2024,3,27,20.107832302640663
2024,3,28,19.96837466076153
2024,3,29,20.479124310004696
2024,3,30,20.689150509496045
2024,3,31,20.151364241534694
2024,4,1,22.246604136759633
2024,4,2,20.65867894508363
2024,4,3,21.537639277398547
2024,4,4,21.31658628921221
2024,4,5,21.675104614755234
2024,4,6,22.62172813258341
2024,4,7,22.796598465324767
2024,4,8,20.30087209087609
2024,4,9,19.015864759636628
2024,4,10,19.27401128968964
2024,4,11,21.31321435314711
2024,4,12,22.392953534004157
2024,4,13,23.375226259060295
2024,4,14,22.21472480049547
2024,4,15,22.808807794686786
2024,4,16,21.90648457930999
2024,4,17,22.799498230268338
2024,4,18,24.053129077074185
2024,4,19,23.807348900098415
2024,4,20,24.032248504623155
2024,4,21,22.816735298048265
2024,4,22,23.334986681114966
2024,4,23,23.127281290534555
2024,4,24,23.47069742391938
2024,4,25,23.715081790761566
2024,4,26,23.65606256080743
2024,4,27,20.870398370304137
2024,4,28,22.303425288539728
2024,4,29,24.00012936549873
2024,4,30,24.58442680650789
2024,5,1,22.08990130216492
