年,月,日,予測気温
2024,1,7,18.510457192764655
2024,1,8,17.690419572214317
2024,1,9,17.3761306619302
2024,1,10,19.13266942607644
2024,1,11,19.78548493991904
2024,1,12,19.645581495516396
2024,1,13,21.733777216118963
2024,1,14,21.569479751019706
2024,1,15,22.365677347711912
2024,1,16,19.591769195742998
2024,1,17,16.190620238806865
2024,1,18,18.55038503387799
2024,1,19,17.060113093205132
2024,1,20,17.885672945772377
2024,1,21,17.197433317553852
2024,1,22,17.96700642516472
2024,1,23,21.090429901599464
2024,1,24,18.998311121857235
2024,1,25,13.707381682550439
2024,1,26,14.371141000661492
2024,1,27,18.458692809456217
2024,1,28,14.855682515692274
2024,1,29,13.319919907144696
2024,1,30,14.450398940309888
2024,1,31,14.411760137251441
2024,2,1,15.504084920456183
2024,2,2,19.710137970410674
2024,2,3,17.4733643518449
2024,2,4,16.492431737716277
2024,2,5,17.562734063408374
2024,2,6,18.590484408706295
2024,2,7,19.6910001567207
2024,2,8,19.97124814349162
2024,2,9,19.486993001610482
2024,2,10,20.520986494345603
2024,2,11,19.701598185683707
2024,2,12,20.373180393097638
2024,2,13,21.88783382987639
2024,2,14,21.564055590995356
2024,2,15,17.407476958785427
2024,2,16,16.882354885802634
2024,2,17,19.065466909822995
2024,2,18,20.191580165088396
2024,2,19,20.509135105463095
2024,2,20,20.49708899123552
2024,2,21,17.240057759481765
2024,2,22,17.203332947688494
2024,2,23,19.584085039298003
2024,2,24,20.60304858415604
2024,2,25,20.07194116571348
2024,2,26,16.738881460158588
2024,2,27,16.631517770482215
2024,2,28,17.67997673047219
2024,3,1,19.176358965134384
2024,3,2,18.799787155896695
2024,3,3,17.336740699653927
2024,3,4,15.873928483360363
2024,3,5,18.140742175144453
2024,3,6,18.353048496024112
2024,3,7,17.89492554909613
2024,3,8,18.50303095029304
2024,3,9,19.266417084635222
2024,3,10,19.30444572793254
2024,3,11,19.83721699430747
2024,3,12,21.157252301804807
2024,3,13,20.431040936097016
2024,3,14,16.917540333311944
2024,3,15,18.52097693394213
2024,3,16,20.849614060909957
2024,3,17,20.373695401585532
2024,3,18,21.386208294280753
2024,3,19,20.170439944911728
2024,3,20,19.390298792215752
2024,3,21,20.876724124220566
2024,3,22,22.585203952614297
2024,3,23,23.03051405008234
2024,3,24,23.61541301837816
2024,3,25,22.855478124165483
2024,3,26,20.482603894454495
2024,3,27,20.06168005084715
2024,3,28,19.938956552935487
2024,3,29,20.408644278194927
2024,3,30,20.638031055017258
2024,3,31,20.180472742553338
2024,4,1,22.18713933912548
2024,4,2,20.638436039781475
2024,4,3,21.475994671911273
2024,4,4,21.284461852440984
2024,4,5,21.685787139345837
2024,4,6,22.620576062101488
2024,4,7,22.76748282600156
2024,4,8,20.28284582149204
2024,4,9,19.016481268230066
2024,4,10,19.246605386890884
2024,4,11,21.359099419706933
2024,4,12,22.36835052223518
2024,4,13,23.354533610348152
2024,4,14,22.207806620448167
2024,4,15,22.826848885160214
2024,4,16,21.880821145151266
2024,4,17,22.820401368267028
2024,4,18,24.01934453895793
2024,4,19,23.80652089242993
2024,4,20,24.07436415647044
2024,4,21,22.7846086640462
2024,4,22,23.35786969643102
2024,4,23,23.080584402672198
2024,4,24,23.466508981428273
2024,4,25,23.723714137234992
2024,4,26,23.663657716878227
2024,4,27,20.89363305126654
2024,4,28,22.30558145803542
2024,4,29,24.05472152044989
2024,4,30,24.56673037787889
2024,5,1,22.13538068410887
2024,5,2,21.938371506700747
2024,5,3,23.35946360503561
2024,5,4,23.398757736320803
2024,5,5,23.986148699144472
2024,5,6,24.760309440582287
2024,5,7,25.03417854996547
2024,5,8,23.660964515954625
2024,5,9,21.809965655923985
2024,5,10,23.491286829524423
2024,5,11,22.64966530449384
2024,5,12,23.269790824750586
2024,5,13,23.512227559476674
2024,5,14,23.60208901974017
2024,5,15,22.076603236651934
2024,5,16,22.989653896332342
2024,5,17,24.375563870523813
2024,5,18,24.480627872107682
2024,5,19,24.973049856966835
2024,5,20,24.1990874899009
2024,5,21,24.307297922537245
2024,5,22,24.422513706603194
2024,5,23,26.381016523988354
2024,5,24,22.26951289661929
2024,5,25,24.503470892498576
2024,5,26,24.413247386786548
2024,5,27,24.448261496805962
2024,5,28,24.789928858158486
2024,5,29,25.31841375941793
2024,5,30,26.027103096110405
2024,5,31,26.48129412735375
2024,6,1,26.556266025401623
2024,6,2,25.38414876731962
2024,6,3,25.534860372298702
2024,6,4,25.460521882529832
2024,6,5,26.707922525316516
2024,6,6,26.425395585109065
2024,6,7,26.72693698492558
2024,6,8,26.9869726625363
2024,6,9,27.082508693794793
2024,6,10,27.16778068739155
2024,6,11,27.49157512780178
2024,6,12,27.049493700495056
2024,6,13,26.139711304516876
2024,6,14,26.75716599683406
2024,6,15,24.935712875873033
2024,6,16,25.956773233398522
2024,6,17,25.91819348886981
2024,6,18,26.93415804615735
2024,6,19,27.222263034652524
2024,6,20,26.761851854759858
2024,6,21,27.083652981885116
2024,6,22,27.69077635491748
2024,6,23,27.568148222991507
2024,6,24,27.535049021063884
2024,6,25,28.02067467357892
2024,6,26,28.11679485996766
2024,6,27,28.687928218230105
2024,6,28,28.235881185168356
2024,6,29,28.055819367004002
2024,6,30,28.674101283544047
2024,7,1,28.937970881344555
2024,7,2,29.184006113461514
2024,7,3,29.02346444215528
2024,7,4,29.44887037752044
2024,7,5,29.057994607131864
2024,7,6,29.60574760495714
2024,7,7,29.791119132856284
2024,7,8,29.73801635989178
2024,7,9,29.78031897348207
2024,7,10,29.766259825409932
2024,7,11,30.016693327851527
2024,7,12,29.967288019460867
2024,7,13,30.265075718640375
2024,7,14,30.321513752040172
2024,7,15,29.700195084247117
2024,7,16,29.380048637188672
2024,7,17,29.035967435116337
2024,7,18,28.609394070738823
2024,7,19,29.350669733978993
2024,7,20,29.80351665813744
2024,7,21,29.526208461476617
2024,7,22,29.822788810277864
2024,7,23,30.115720004325283
2024,7,24,29.646830433042066
2024,7,25,30.259496456944735
2024,7,26,29.76510326802206
2024,7,27,28.18763876773065
2024,7,28,28.1779197064255
2024,7,29,29.26426043049371
2024,7,30,29.321470345574504
2024,7,31,29.38752305285883
2024,8,1,28.161690839142423
2024,8,2,28.306109525315478
2024,8,3,27.572738191779536
2024,8,4,28.171671102508412
2024,8,5,27.912017165476804
2024,8,6,27.10612119266901
2024,8,7,27.677436230375136
2024,8,8,27.577645285126163
2024,8,9,27.776555366809156
2024,8,10,28.390260130326574
2024,8,11,28.9007364158646
2024,8,12,27.947314941917888
2024,8,13,28.91515384822669
2024,8,14,28.93730563790802
2024,8,15,29.46304195615965
2024,8,16,28.17728322131031
2024,8,17,27.555754458387185
2024,8,18,28.42027585831841
2024,8,19,28.790102824774475
2024,8,20,29.50419690845247
2024,8,21,28.85265002463496
2024,8,22,28.87548419783434
2024,8,23,28.833145360554415
2024,8,24,28.90747483787442
2024,8,25,29.82253316706616
2024,8,26,28.072422666011235
2024,8,27,28.350010437726652
2024,8,28,29.385893402368175
2024,8,29,28.94890074526886
2024,8,30,29.77136542602718
2024,8,31,29.899079503819763
2024,9,1,29.8455927467457
2024,9,2,29.991120682043455
2024,9,3,28.304333517793268
2024,9,4,29.697591130994393
2024,9,5,28.706351616264037
2024,9,6,29.110088721845862
2024,9,7,29.302403771590747
2024,9,8,28.80908659899202
2024,9,9,28.105700012859906
2024,9,10,27.729822185425157
2024,9,11,28.121663254162893
2024,9,12,28.206935191646608
2024,9,13,28.981996762411857
2024,9,14,28.542394996272858
2024,9,15,29.073140029479646
2024,9,16,29.139492754740203
2024,9,17,27.86509219357836
2024,9,18,27.336637336842948
2024,9,19,28.703613603300656
2024,9,20,29.093482513528876
2024,9,21,28.527221681399176
2024,9,22,28.272181864978208
2024,9,23,28.38058329803459
2024,9,24,29.036687171602612
2024,9,25,28.27615135132949
2024,9,26,28.79577876021674
2024,9,27,28.635736248831545
2024,9,28,29.40830081734254
2024,9,29,27.93066742899891
