ダウンロードした時刻：2024/07/10 15:58:43

,那覇,那覇,那覇
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,品質情報,均質番号
1994/1/1,晴時々曇,8,1
1994/1/2,晴,8,1
1994/1/3,晴時々曇一時雨,8,1
1994/1/4,晴一時曇,8,1
1994/1/5,晴,8,1
1994/1/6,晴,8,1
1994/1/7,晴一時曇,8,1
1994/1/8,曇,8,1
1994/1/9,大雨,8,1
1994/1/10,晴一時雨,8,1
1994/1/11,晴,8,1
1994/1/12,晴時々曇,8,1
1994/1/13,雨,8,1
1994/1/14,曇時々雨,8,1
1994/1/15,晴,8,1
1994/1/16,晴,8,1
1994/1/17,晴,8,1
1994/1/18,曇時々雨,8,1
1994/1/19,雨時々曇,8,1
1994/1/20,曇一時雨,8,1
1994/1/21,曇時々雨,8,1
1994/1/22,曇時々晴,8,1
1994/1/23,曇時々晴,8,1
1994/1/24,晴,8,1
1994/1/25,曇時々雨,8,1
1994/1/26,雨一時曇,8,1
1994/1/27,晴一時曇,8,1
1994/1/28,曇時々雨一時晴,8,1
1994/1/29,曇,8,1
1994/1/30,晴,8,1
1994/1/31,晴一時曇,8,1
1994/2/1,晴後雨,8,1
1994/2/2,曇一時雨,8,1
1994/2/3,晴,8,1
1994/2/4,晴,8,1
1994/2/5,曇時々雨,8,1
1994/2/6,曇一時雨,8,1
1994/2/7,曇時々晴一時雨,8,1
1994/2/8,曇時々雨,8,1
1994/2/9,晴時々曇,8,1
1994/2/10,曇一時晴,8,1
1994/2/11,曇時々雨,8,1
1994/2/12,曇時々晴一時雨,8,1
1994/2/13,晴一時曇,8,1
1994/2/14,曇時々晴一時雨,8,1
1994/2/15,雨後曇,8,1
1994/2/16,曇一時雨,8,1
1994/2/17,曇時々雨,8,1
1994/2/18,曇時々雨一時晴,8,1
1994/2/19,曇時々雨,8,1
1994/2/20,雨後曇,8,1
1994/2/21,曇後晴,8,1
1994/2/22,晴,8,1
1994/2/23,曇時々晴,8,1
1994/2/24,曇一時雨,8,1
1994/2/25,曇一時雨,8,1
1994/2/26,晴一時曇,8,1
1994/2/27,曇一時晴,8,1
1994/2/28,雨一時曇,8,1
1994/3/1,曇時々雨,8,1
1994/3/2,曇時々雨,8,1
1994/3/3,雨一時曇,8,1
1994/3/4,晴,8,1
1994/3/5,晴,8,1
1994/3/6,晴,8,1
1994/3/7,曇時々雨,8,1
1994/3/8,雨一時晴,8,1
1994/3/9,曇,8,1
1994/3/10,雨一時曇,8,1
1994/3/11,晴一時曇,8,1
1994/3/12,曇,8,1
1994/3/13,曇時々雨,8,1
1994/3/14,曇時々雨,8,1
1994/3/15,曇,8,1
1994/3/16,曇時々晴一時雨,8,1
1994/3/17,雨時々曇,8,1
1994/3/18,曇,8,1
1994/3/19,雨,8,1
1994/3/20,晴一時雨,8,1
1994/3/21,晴一時薄曇,8,1
1994/3/22,曇一時雨,8,1
1994/3/23,雨一時曇,8,1
1994/3/24,晴時々薄曇,8,1
1994/3/25,快晴,8,1
1994/3/26,曇一時雨,8,1
1994/3/27,晴,8,1
1994/3/28,曇一時晴,8,1
1994/3/29,晴,8,1
1994/3/30,晴時々曇,8,1
1994/3/31,晴一時曇,8,1
1994/4/1,曇一時晴,8,1
1994/4/2,晴,8,1
1994/4/3,晴,8,1
1994/4/4,晴一時曇,8,1
1994/4/5,晴,8,1
1994/4/6,晴,8,1
1994/4/7,晴,8,1
1994/4/8,晴時々曇,8,1
1994/4/9,曇一時雨,8,1
1994/4/10,曇一時晴,8,1
1994/4/11,雨,8,1
1994/4/12,曇時々雨,8,1
1994/4/13,曇,8,1
1994/4/14,晴後曇,8,1
1994/4/15,晴一時曇,8,1
1994/4/16,曇一時晴,8,1
1994/4/17,曇時々晴一時雨,8,1
1994/4/18,曇一時雨,8,1
1994/4/19,晴一時曇,8,1
1994/4/20,晴,8,1
1994/4/21,曇,8,1
1994/4/22,曇一時雨,8,1
1994/4/23,曇一時雨、雷を伴う,8,1
1994/4/24,曇時々雨,8,1
1994/4/25,曇後晴,8,1
1994/4/26,曇時々雨一時晴,8,1
1994/4/27,雨一時曇,8,1
1994/4/28,曇時々雨,8,1
1994/4/29,曇一時雨,8,1
1994/4/30,曇後晴,8,1
1994/5/1,晴一時薄曇,8,1
1994/5/2,曇後一時雨,8,1
1994/5/3,大雨時々曇、雷を伴う,8,1
1994/5/4,雨一時曇,8,1
1994/5/5,曇一時雨,8,1
1994/5/6,晴,8,1
1994/5/7,曇一時晴,8,1
1994/5/8,曇一時晴,8,1
1994/5/9,晴,8,1
1994/5/10,晴,8,1
1994/5/11,曇後雨,8,1
1994/5/12,晴,8,1
1994/5/13,晴一時曇,8,1
1994/5/14,晴,8,1
1994/5/15,曇時々雨後晴,8,1
1994/5/16,晴,8,1
1994/5/17,薄曇時々晴,8,1
1994/5/18,曇一時雨,8,1
1994/5/19,曇後晴,8,1
1994/5/20,快晴,8,1
1994/5/21,曇,8,1
1994/5/22,雨時々曇,8,1
1994/5/23,曇一時雨,8,1
1994/5/24,雨一時曇,8,1
1994/5/25,曇一時雨,8,1
1994/5/26,雨時々曇、雷を伴う,8,1
1994/5/27,曇時々雨、霧を伴う,8,1
1994/5/28,雨時々曇,8,1
1994/5/29,曇一時雨,8,1
1994/5/30,晴,8,1
1994/5/31,雨,8,1
1994/6/1,雨,8,1
1994/6/2,雨後曇一時晴,8,1
1994/6/3,晴一時曇,8,1
1994/6/4,曇時々雨,8,1
1994/6/5,曇一時晴,8,1
1994/6/6,曇一時晴,8,1
1994/6/7,曇,8,1
1994/6/8,晴一時曇,8,1
1994/6/9,晴一時曇,8,1
1994/6/10,晴時々曇,8,1
1994/6/11,曇一時晴,8,1
1994/6/12,曇一時雨,8,1
1994/6/13,曇一時晴,8,1
1994/6/14,晴後曇一時雨,8,1
1994/6/15,雨,8,1
1994/6/16,曇時々雨,8,1
1994/6/17,曇,8,1
1994/6/18,薄曇,8,1
1994/6/19,雨一時曇,8,1
1994/6/20,曇時々雨,8,1
1994/6/21,曇一時晴,8,1
1994/6/22,曇,8,1
1994/6/23,晴,8,1
1994/6/24,曇一時晴,8,1
1994/6/25,晴一時曇,8,1
1994/6/26,晴後一時薄曇,8,1
1994/6/27,晴,8,1
1994/6/28,晴一時薄曇,8,1
1994/6/29,晴時々曇一時雨,8,1
1994/6/30,晴一時薄曇,8,1
1994/7/1,曇一時晴,8,1
1994/7/2,晴一時雨,8,1
1994/7/3,晴一時曇,8,1
1994/7/4,晴,8,1
1994/7/5,晴,8,1
1994/7/6,晴一時雨,8,1
1994/7/7,晴一時雨,8,1
1994/7/8,晴,8,1
1994/7/9,晴,8,1
1994/7/10,晴時々曇,8,1
1994/7/11,晴一時曇,8,1
1994/7/12,晴一時曇,8,1
1994/7/13,晴,8,1
1994/7/14,晴一時薄曇,8,1
1994/7/15,晴時々雨、雷を伴う,8,1
1994/7/16,曇後一時雨,8,1
1994/7/17,晴時々雨、雷を伴う,8,1
1994/7/18,晴,8,1
1994/7/19,晴一時雨,8,1
1994/7/20,晴一時曇,8,1
1994/7/21,晴,8,1
1994/7/22,晴,8,1
1994/7/23,晴一時曇,8,1
1994/7/24,晴,8,1
1994/7/25,晴,8,1
1994/7/26,晴,8,1
1994/7/27,晴一時雨,8,1
1994/7/28,晴一時雨,8,1
1994/7/29,晴一時薄曇,8,1
1994/7/30,大雨,8,1
1994/7/31,曇一時雨,8,1
1994/8/1,晴一時雨,8,1
1994/8/2,晴一時雨,8,1
1994/8/3,晴,8,1
1994/8/4,晴,8,1
1994/8/5,晴,8,1
1994/8/6,晴一時雨,8,1
1994/8/7,曇,8,1
1994/8/8,曇一時雨,8,1
1994/8/9,曇時々雨,8,1
1994/8/10,曇一時晴,8,1
1994/8/11,晴時々曇,8,1
1994/8/12,晴,8,1
1994/8/13,晴一時曇,8,1
1994/8/14,晴,8,1
1994/8/15,雨一時曇,8,1
1994/8/16,晴時々曇,8,1
1994/8/17,晴一時曇,8,1
1994/8/18,晴一時雨,8,1
1994/8/19,曇時々雨一時晴,8,1
1994/8/20,曇一時雨,8,1
1994/8/21,曇一時雨,8,1
1994/8/22,晴時々薄曇,8,1
