年,月,日,予測気温
2024,2,4,16.462942406369617
2024,2,5,18.3451101020055
2024,2,6,19.724381196226332
2024,2,7,20.177689840636663
2024,2,8,20.105906778269986
2024,2,9,20.05623441332908
2024,2,10,20.67894542118872
2024,2,11,20.116201104032957
2024,2,12,21.631431469451734
2024,2,13,22.45290373907935
2024,2,14,18.69306346821463
2024,2,15,15.873143398672605
2024,2,16,18.104031482729958
2024,2,17,19.360364356975403
2024,2,18,20.396582581735302
2024,2,19,21.00327734396274
2024,2,20,17.645243662280443
2024,2,21,17.03443618484118
2024,2,22,18.789342980963436
2024,2,23,19.98956862307296
2024,2,24,20.659890539686668
2024,2,25,17.992936958978746
2024,2,26,16.138250693840032
2024,2,27,16.06330485445274
2024,2,28,18.62254045521222
2024,3,1,20.147094947392635
2024,3,2,17.36135703625318
2024,3,3,16.3314411191122
2024,3,4,17.710752540718254
2024,3,5,18.07369645957917
2024,3,6,18.28402522574326
2024,3,7,18.837776615763488
2024,3,8,20.26361634131925
2024,3,9,20.61480445576123
2024,3,10,19.934867211103157
2024,3,11,20.94042900178536
2024,3,12,21.078858959784547
2024,3,13,17.928790443500397
2024,3,14,18.06594898830093
2024,3,15,20.453150730961895
2024,3,16,21.393207759116123
2024,3,17,21.695350120835087
2024,3,18,20.46732926507439
2024,3,19,20.36775672674944
2024,3,20,19.3469897474685
2024,3,21,22.37440971065847
2024,3,22,23.26161796599728
2024,3,23,23.8855812930317
2024,3,24,24.267250282858235
2024,3,25,21.23284922350709
2024,3,26,18.88458933363297
2024,3,27,19.580754495994114
2024,3,28,20.9169389358107
2024,3,29,20.458408493599023
2024,3,30,20.705522597092525
2024,3,31,21.501263243234963
2024,4,1,21.853968220809897
2024,4,2,21.255910936632628
2024,4,3,22.127618415918384
2024,4,4,21.979198697285366
2024,4,5,21.807041582063164
2024,4,6,22.92659570387812
2024,4,7,21.731830362442814
2024,4,8,19.18748997016435
2024,4,9,19.27408915815357
2024,4,10,20.322792780938887
2024,4,11,22.584790534612747
2024,4,12,23.14954114339149
2024,4,13,22.499225460529853
2024,4,14,23.561424025597752
2024,4,15,23.38532958331521
2024,4,16,23.89963391432082
2024,4,17,24.767907844218744
2024,4,18,23.919593982510186
2024,4,19,23.719533190643933
2024,4,20,23.446780615081984
2024,4,21,23.502981204110323
2024,4,22,22.795992549413953
2024,4,23,23.019157922470203
2024,4,24,23.287112962972277
2024,4,25,24.02371477387461
2024,4,26,20.939267340444527
2024,4,27,21.817402371903817
2024,4,28,23.58367419431294
2024,4,29,25.068037586463806
2024,4,30,23.295524332987842
2024,5,1,22.39440220832092
2024,5,2,22.49345308147086
2024,5,3,23.081116060119435
2024,5,4,24.406563240567387
2024,5,5,24.71333523672443
2024,5,6,25.318806921813092
2024,5,7,24.423604510685816
2024,5,8,21.997944350356853
2024,5,9,22.360755144167182
2024,5,10,22.756038075347707
2024,5,11,22.78831042181247
2024,5,12,23.04079815174175
2024,5,13,23.658951363342315
2024,5,14,21.778308213700107
2024,5,15,22.73284409058873
2024,5,16,24.654206869819472
2024,5,17,24.62050675022153
2024,5,18,24.94489403421356
2024,5,19,24.557012833320073
2024,5,20,24.320417596950975
2024,5,21,24.52777229941955
2024,5,22,25.3867039771909
2024,5,23,23.639655391837838
2024,5,24,23.54599626066002
2024,5,25,24.72201989059445
2024,5,26,24.682695528322903
2024,5,27,24.568673291475584
2024,5,28,25.063899106542078
2024,5,29,26.752385087137792
2024,5,30,26.653108070476737
2024,5,31,26.87530099980815
2024,6,1,24.924093587121163
2024,6,2,24.549843624632018
2024,6,3,25.15926144702611
2024,6,4,26.103523840872263
2024,6,5,27.081150193551423
2024,6,6,26.227497255056445
2024,6,7,27.001819967531937
2024,6,8,26.991905631659908
2024,6,9,27.96074001848136
2024,6,10,27.433975409803466
2024,6,11,27.973907925021663
2024,6,12,26.971180789544064
2024,6,13,25.803263472368343
2024,6,14,24.36510115122773
2024,6,15,25.514920226093064
2024,6,16,25.882274987380157
2024,6,17,25.3924167577495
2024,6,18,27.39841710840873
2024,6,19,26.106155327946126
2024,6,20,27.25516037412309
2024,6,21,27.69818372271942
2024,6,22,27.47195225619329
2024,6,23,27.655372238404098
2024,6,24,28.742401005500817
2024,6,25,28.40815577122548
2024,6,26,28.43357474266962
2024,6,27,28.674714059469853
2024,6,28,28.040604921986116
2024,6,29,29.390684134524662
2024,6,30,29.179568147407032
2024,7,1,29.01174203473318
2024,7,2,29.475850205428554
2024,7,3,29.602192268265135
2024,7,4,29.180261035921966
2024,7,5,29.336391484730257
2024,7,6,29.60258412883001
2024,7,7,30.143837548329746
2024,7,8,29.81045635049007
2024,7,9,30.26512661165851
2024,7,10,30.66283606091832
2024,7,11,30.547431700106998
2024,7,12,30.80962557969816
2024,7,13,30.647236245730415
2024,7,14,30.54487300580029
2024,7,15,29.87712225827709
2024,7,16,29.75783635703889
2024,7,17,28.896022811036712
2024,7,18,29.64826170758028
2024,7,19,29.94249314283559
2024,7,20,29.92808827570746
2024,7,21,30.492446901572837
2024,7,22,30.566515002400003
2024,7,23,30.96509780966311
2024,7,24,30.123844549470633
2024,7,25,29.983192180478863
2024,7,26,28.978354338774082
2024,7,27,27.572425994371095
2024,7,28,29.08754163929411
2024,7,29,29.484054728224177
2024,7,30,29.66915045119809
2024,7,31,28.568256856727288
2024,8,1,28.58119621275625
2024,8,2,26.00149926867457
2024,8,3,26.613172614685084
2024,8,4,26.73500325995374
2024,8,5,25.959067257213874
2024,8,6,25.443887038067658
2024,8,7,26.451779195093582
2024,8,8,27.53317710740792
2024,8,9,28.257870311040516
2024,8,10,28.939629254254964
2024,8,11,28.580427421715765
2024,8,12,28.94749190654154
2024,8,13,28.970575273038598
2024,8,14,29.50733294120944
2024,8,15,29.742955573557218
2024,8,16,28.443489497459097
2024,8,17,28.16800903001527
2024,8,18,29.27437008081196
2024,8,19,29.58705649442247
2024,8,20,30.212305859383324
2024,8,21,29.505315104655217
2024,8,22,29.06932902155563
2024,8,23,29.66732019077642
2024,8,24,30.43961281889566
2024,8,25,29.078206790265895
2024,8,26,29.741880245538304
2024,8,27,29.00814530913403
2024,8,28,29.65585202296272
2024,8,29,29.844984472930896
2024,8,30,30.035049251588344
2024,8,31,29.842799285353237
2024,9,1,29.566061318004483
2024,9,2,28.91042028350065
2024,9,3,28.938648013645494
2024,9,4,28.723296675851675
2024,9,5,28.985054703647027
2024,9,6,28.89377150051837
2024,9,7,28.440540608981713
2024,9,8,28.088971637834383
2024,9,9,28.26001048620169
2024,9,10,28.164782567271217
2024,9,11,28.201730792296487
2024,9,12,29.12736599264084
2024,9,13,29.31719934670991
2024,9,14,29.477234507896743
2024,9,15,29.87127754817007
2024,9,16,28.613456605423174
2024,9,17,28.61045639130739
2024,9,18,29.004523591214777
2024,9,19,28.938242783302368
2024,9,20,28.91876691847623
2024,9,21,29.49871359686227
2024,9,22,29.247964261868972
2024,9,23,29.186728835843923
2024,9,24,28.93407938085673
2024,9,25,29.02418854019191
2024,9,26,29.54532474044219
2024,9,27,29.285457423218045
2024,9,28,28.91083612537858
2024,9,29,28.43595016072987
2024,9,30,27.864410768479075
2024,10,1,28.20132086490205
2024,10,2,28.712695566447152
2024,10,3,29.024177978804953
2024,10,4,29.33923740917332
2024,10,5,29.255945741974493
2024,10,6,27.821863272213278
2024,10,7,27.928014252285006
2024,10,8,28.54202471347217
2024,10,9,27.848559766357063
2024,10,10,27.27543662704538
2024,10,11,26.67852052084342
2024,10,12,26.671253909940702
2024,10,13,25.650046883955188
2024,10,14,25.62958794566993
2024,10,15,25.464727819088925
2024,10,16,25.396787132818044
2024,10,17,24.852206346640173
