年,月,日,予測湿度
2024,2,4,69.50611511679146
2024,2,5,74.27319007906561
2024,2,6,88.10558052580755
2024,2,7,83.22601726806145
2024,2,8,75.79159051495122
2024,2,9,77.84012782879098
2024,2,10,83.2398553186307
2024,2,11,81.85835019478512
2024,2,12,83.78244917748027
2024,2,13,82.73039732428478
2024,2,14,77.87428223438242
2024,2,15,67.99420559362207
2024,2,16,66.89765241633499
2024,2,17,64.20598183218614
2024,2,18,66.22996760216172
2024,2,19,68.61526403632638
2024,2,20,67.81783029959729
2024,2,21,62.303924035750676
2024,2,22,66.66994849087914
2024,2,23,63.552379321808246
2024,2,24,74.63850326645378
2024,2,25,72.36435125561322
2024,2,26,58.29305425441534
2024,2,27,60.05561449798758
2024,2,28,64.65296854376331
2024,3,1,64.64073460847312
2024,3,2,67.90757378238405
2024,3,3,66.24855218955024
2024,3,4,53.31683102796572
2024,3,5,59.86117717890751
2024,3,6,56.4438654684739
2024,3,7,60.226676220650056
2024,3,8,70.9051634755853
2024,3,9,72.73817744519974
2024,3,10,67.02874613887882
2024,3,11,70.0818754364696
2024,3,12,71.30084207169043
2024,3,13,72.9005559717749
2024,3,14,69.82580573227571
2024,3,15,75.11119292276126
2024,3,16,81.57730624571649
2024,3,17,78.86322598293289
2024,3,18,76.01398552607813
2024,3,19,78.30762642557713
2024,3,20,73.67345051341867
2024,3,21,81.7928010609441
2024,3,22,86.58148821421297
2024,3,23,82.54150956656049
2024,3,24,86.77958866405324
2024,3,25,82.83174470614017
2024,3,26,78.76354670712792
2024,3,27,80.96685730234486
2024,3,28,73.31080468044183
2024,3,29,75.3509495353765
2024,3,30,81.21589857087167
2024,3,31,78.9326930374394
2024,4,1,84.3603732789031
2024,4,2,71.04079998792383
2024,4,3,70.77843491278584
2024,4,4,70.06663704446301
2024,4,5,70.02404415331823
2024,4,6,78.19363020810465
2024,4,7,80.28910072710096
2024,4,8,71.01890473508425
2024,4,9,59.93190615282853
2024,4,10,61.00149936777527
2024,4,11,71.89604284145345
2024,4,12,72.00964582424989
2024,4,13,78.34343028831978
2024,4,14,83.57896107135043
2024,4,15,92.22480757503784
2024,4,16,77.15970791160089
2024,4,17,70.48875602316215
2024,4,18,71.99905020918504
2024,4,19,90.49174665335659
2024,4,20,97.76477066186996
2024,4,21,88.55093215121705
2024,4,22,78.18488978011412
2024,4,23,70.80424401041067
2024,4,24,73.69257970208398
2024,4,25,77.75087052498847
2024,4,26,76.18702712738663
2024,4,27,74.96365876637739
2024,4,28,72.7837035208612
2024,4,29,87.30167263343941
2024,4,30,82.20154282675179
2024,5,1,81.53184879714291
2024,5,2,64.32492376240052
2024,5,3,78.46861063696169
2024,5,4,85.29560592637638
2024,5,5,87.16174926407656
2024,5,6,87.5155630003604
2024,5,7,88.79532307365571
2024,5,8,81.14979518760819
2024,5,9,65.59763554395437
2024,5,10,71.83390626607508
2024,5,11,62.37083347667608
2024,5,12,61.61740522766047
2024,5,13,77.37727947694299
2024,5,14,75.08439187153554
2024,5,15,76.78816789886045
2024,5,16,72.304752768363
2024,5,17,77.49275500164086
2024,5,18,88.5419803790246
2024,5,19,80.66765933547396
2024,5,20,72.33846752032932
2024,5,21,79.14039169246541
2024,5,22,87.22980788784697
2024,5,23,82.86725477443557
2024,5,24,64.7151497720478
2024,5,25,79.04624806986533
2024,5,26,69.70518495610199
2024,5,27,79.54792637975682
2024,5,28,85.09850296924014
2024,5,29,92.21667862360447
2024,5,30,90.54358950484266
2024,5,31,90.86233112725867
2024,6,1,92.1968706347856
2024,6,2,86.00838732584913
2024,6,3,75.26702767363234
2024,6,4,74.64118561951585
2024,6,5,76.37267309477107
2024,6,6,73.81553192901512
2024,6,7,84.21952915673914
2024,6,8,79.52301273183718
2024,6,9,85.9369807432333
2024,6,10,88.26490935579557
2024,6,11,89.78574174974112
2024,6,12,88.688961698246
2024,6,13,90.72167165208097
2024,6,14,99.52104009190272
2024,6,15,96.52564072651043
2024,6,16,88.61611623552093
2024,6,17,89.41690364683109
2024,6,18,92.44909349510273
2024,6,19,90.02005353826956
2024,6,20,90.77105970875215
2024,6,21,87.31956629770954
2024,6,22,90.94873521194596
2024,6,23,90.93453741334551
2024,6,24,88.63007371511625
2024,6,25,81.02308659052704
2024,6,26,80.98008753502027
2024,6,27,81.54591881867628
2024,6,28,85.6256468033117
2024,6,29,86.35374313436695
2024,6,30,82.6053062236767
2024,7,1,80.71547067205054
2024,7,2,85.64711990880308
2024,7,3,80.55065850392826
2024,7,4,83.51009160627804
2024,7,5,82.35603018271833
2024,7,6,80.34021682957861
2024,7,7,80.29454072208993
2024,7,8,80.34706761135335
2024,7,9,78.18301879366595
2024,7,10,79.84126248618966
2024,7,11,82.89750922478342
2024,7,12,78.91463644238404
2024,7,13,78.75214416461411
2024,7,14,79.78101739706501
2024,7,15,81.12914115348174
2024,7,16,83.92359311968417
2024,7,17,84.36801151602198
2024,7,18,83.6445327842917
2024,7,19,78.98889210520075
2024,7,20,74.61277171530621
2024,7,21,76.81170519603816
2024,7,22,77.31306051229338
2024,7,23,82.75058867914535
2024,7,24,74.80427419140722
2024,7,25,79.52664581204067
2024,7,26,86.0221243110228
2024,7,27,83.74470896383795
2024,7,28,87.66114816870083
2024,7,29,81.55530896579576
2024,7,30,78.43442852568356
2024,7,31,81.83817938029338
2024,8,1,89.8487398951766
2024,8,2,106.13788648362241
2024,8,3,85.87573834900893
2024,8,4,88.93338341956607
2024,8,5,97.15424807063971
2024,8,6,94.74699343810985
2024,8,7,87.59480149938614
2024,8,8,89.02465614732442
2024,8,9,86.95748391543694
2024,8,10,80.45902685657487
2024,8,11,87.16699140928469
2024,8,12,77.96522682595828
2024,8,13,78.68462020082397
2024,8,14,80.14748336068698
2024,8,15,84.86226321160375
2024,8,16,88.84188525710124
2024,8,17,80.2375182096787
2024,8,18,82.24912457643143
2024,8,19,79.1138927164793
2024,8,20,85.37727745530844
2024,8,21,81.07746207482286
2024,8,22,80.784774480407
2024,8,23,81.48435894615692
2024,8,24,82.61210936146108
2024,8,25,84.33404540529317
2024,8,26,86.79363915480293
2024,8,27,78.0205216065592
2024,8,28,82.26785324669618
2024,8,29,77.93378626004287
2024,8,30,78.60966806607132
2024,8,31,78.21491390295982
2024,9,1,82.20925805812168
2024,9,2,83.56842191016436
2024,9,3,76.71628836518592
2024,9,4,76.72586354705548
2024,9,5,73.59265876488897
2024,9,6,75.20346680836487
2024,9,7,74.49578539468995
2024,9,8,79.42721780292142
2024,9,9,73.18932616506224
2024,9,10,75.99537079443778
2024,9,11,80.41211887585114
2024,9,12,77.17370529788795
2024,9,13,81.6451815884521
2024,9,14,79.45370053529122
2024,9,15,78.17080693446518
2024,9,16,83.40289364263091
2024,9,17,92.08367934465855
2024,9,18,81.2563786863159
2024,9,19,77.90591211259252
2024,9,20,81.11575217989814
2024,9,21,84.76984573494903
2024,9,22,84.64174078617452
2024,9,23,80.24573235688653
2024,9,24,78.1798543177643
2024,9,25,84.99437670764274
2024,9,26,80.72536481029341
2024,9,27,75.09076527187098
2024,9,28,86.04298315406102
2024,9,29,84.37257797368855
2024,9,30,89.54717583172054
2024,10,1,82.67635626458363
2024,10,2,84.50049127532519
2024,10,3,85.92978710771376
2024,10,4,87.1781939262668
2024,10,5,82.59660116384428
2024,10,6,82.00045190939228
2024,10,7,80.27174799862175
2024,10,8,81.94033559381279
2024,10,9,76.33107401735889
2024,10,10,77.56162485242263
2024,10,11,69.87064913340267
2024,10,12,73.41454279617696
2024,10,13,64.2939539469315
2024,10,14,63.541064123504725
2024,10,15,66.65334447705503
2024,10,16,61.62483109700005
2024,10,17,56.211318741384126
2024,10,18,62.906792112437344
2024,10,19,64.11247149268428
2024,10,20,73.657417887958
2024,10,21,69.71927032016931
2024,10,22,60.24527616855927
2024,10,23,68.55440249142976
2024,10,24,74.76905314935951
2024,10,25,71.27471949928342
2024,10,26,74.96856406129945
2024,10,27,62.58936618516489
2024,10,28,64.61744260586154
2024,10,29,64.13572905945632
2024,10,30,61.18046035795345
2024,10,31,67.41065836902943
2024,11,1,73.19390190556084
2024,11,2,78.16581356163319
2024,11,3,74.201773422758
2024,11,4,68.67375232389546
2024,11,5,73.27074769881797
2024,11,6,73.81282976754434
2024,11,7,73.03330277546605
2024,11,8,65.13907842619557
2024,11,9,75.62953919281142
2024,11,10,84.01038016218538
2024,11,11,78.77633943913996
2024,11,12,73.45015419106215
2024,11,13,70.87757650015945
2024,11,14,58.70260360574328
2024,11,15,64.14587158818875
2024,11,16,64.38339139622914
2024,11,17,63.30296060510578
2024,11,18,59.33401912835844
2024,11,19,54.29821613492564
2024,11,20,57.08394796753079
2024,11,21,69.10809567561408
2024,11,22,65.75570536058734
2024,11,23,65.74271343420362
2024,11,24,62.24956270896533
2024,11,25,65.01186350386726
2024,11,26,72.89746473515301
2024,11,27,74.65421077727432
2024,11,28,63.361410195364556
2024,11,29,60.188835740458444
2024,11,30,75.34440940671715
2024,12,1,66.08084028124847
2024,12,2,64.22267948006072
2024,12,3,67.5873748127723
2024,12,4,77.75202069329677
2024,12,5,79.34259999360059
2024,12,6,76.32439298301915
2024,12,7,67.32037120212824
2024,12,8,59.69606985286828
2024,12,9,69.22400959867463
2024,12,10,77.11408560461658
2024,12,11,81.49957411120806
2024,12,12,83.32062619091035
2024,12,13,75.71300687275917
2024,12,14,71.9675560536297
2024,12,15,76.95548093086288
2024,12,16,78.4423112133158
2024,12,17,66.86154855952636
2024,12,18,63.836363279707946
2024,12,19,78.0912704800143
2024,12,20,80.52020384773412
2024,12,21,70.0718801492455
2024,12,22,57.8228958070018
2024,12,23,63.81534642191312
2024,12,24,73.07522173263581
2024,12,25,70.56532825274276
2024,12,26,60.13493875630363
2024,12,27,74.93685460355492
2024,12,28,74.47462239853269
2024,12,29,80.47052566765674
2024,12,30,91.0830882552408
2024,12,31,84.76952654340796
