年,月,日,予測気温
2024,1,7,18.605203580019243
2024,1,8,17.415933319445244
2024,1,9,17.378865460293262
2024,1,10,18.909475866349922
2024,1,11,19.828731367540783
2024,1,12,19.60370260665796
2024,1,13,21.48390804536512
2024,1,14,21.589366559641174
2024,1,15,22.22439336647701
2024,1,16,19.784832146828617
2024,1,17,16.283501805614826
2024,1,18,18.71196152342615
2024,1,19,17.246043777385985
2024,1,20,17.682442247291036
2024,1,21,17.07335608146098
2024,1,22,17.83945739312971
2024,1,23,21.024039566837207
2024,1,24,18.995072666860572
2024,1,25,14.046356092579778
2024,1,26,13.67727919886919
2024,1,27,18.60925735053064
2024,1,28,14.898515154970896
2024,1,29,13.28249847296383
2024,1,30,14.511531962454823
2024,1,31,14.445301739039873
2024,2,1,15.222724028679327
2024,2,2,19.69065869819116
2024,2,3,17.43394062210466
2024,2,4,16.53638040053462
2024,2,5,17.541830769231133
2024,2,6,18.970926270053038
2024,2,7,19.894528910818487
2024,2,8,20.22177821805093
2024,2,9,19.51808632078116
2024,2,10,20.481319816671384
2024,2,11,19.965692129265875
2024,2,12,20.324086265244457
2024,2,13,22.0581568407816
2024,2,14,21.702661697133667
2024,2,15,17.492781476425257
2024,2,16,17.140387289414296
2024,2,17,19.229997326253002
2024,2,18,19.957339456164327
2024,2,19,20.52518013035483
2024,2,20,20.298928584683583
2024,2,21,17.120443765328623
2024,2,22,17.193484292002537
2024,2,23,19.63316996057299
2024,2,24,20.32143901987146
2024,2,25,20.243308487374946
2024,2,26,16.920406864945033
2024,2,27,16.487198761572586
2024,2,28,17.515926344266614
2024,3,1,19.40901277785273
2024,3,2,18.637508754227927
2024,3,3,17.206462630314206
2024,3,4,16.269854600401906
2024,3,5,17.572677813556183
2024,3,6,18.16490673177783
2024,3,7,17.827560056543735
2024,3,8,18.25857511058173
2024,3,9,19.233419260283725
2024,3,10,19.28676381312604
2024,3,11,19.577756204290438
2024,3,12,21.1553519347829
2024,3,13,20.39046761820341
2024,3,14,17.0689805433081
2024,3,15,18.842408074159117
2024,3,16,20.805244180453286
2024,3,17,20.533899579632276
2024,3,18,21.486570844570615
2024,3,19,20.11008410430308
2024,3,20,19.726792166375066
2024,3,21,20.734855841316843
2024,3,22,23.04316013660734
2024,3,23,23.292194699793757
2024,3,24,23.759043748837275
2024,3,25,23.18008952866813
2024,3,26,20.587516745801306
2024,3,27,20.314477116981514
2024,3,28,20.490118600680294
